"departement","begrotingsstaten","begrotingshoofdstuk_R","begroting","naam_agentschap","Agentschap","Jaar","Dep.","FTE (in aantallen)","Immateriële vaste activa","Materiële vaste activa","Financiële vaste activa","Vaste activa","Voorraden + OHW","Debiteuren + Nog te ontvangen","Liquide middelen","Vlottende activa","Totaal activa","Exploitatie reserve","Verplichte / Bestemmings-reserve","Onverdeeld resultaat","Eigen vermogen","Voorzieningen","Leningen FIN","Crediteuren + Kortlopende schulden","Totaal passiva","Omzet moeder departement","Omzet overige departementen","Omzet derden","Omzet","Diverse opbrengsten","Rentebaten","Vrijval voorzieningen","Bijzondere baten","Baten","Personele kosten","Materiële kosten","Apparaats-uitgaven","Afschrijving","Diverse lasten","Dotatie voorzieningen","Rentelasten","Bijzondere lasten","Lasten","Resultaat"
"Algemene Zaken","III, Algemene Zaken","III","Algemene Zaken","Dienst Publiek en Communicatie","DPC","2009","AZ","159,5","0","0","0","0","8023","16700","158","24881","24881","4693","0","-940","3753","1026","0","20102","24881","7391","49318","499","57208","0","0","127","0","57335","10402","46953","57355","7","0","0","69","844","58275","-940"
"Buitenlandse Zaken","V, Buitenlandse Zaken","V","Buitenlandse Zaken","Centrum tot Bevordering van de Import","CBI","2009","BuZa","16","0","818,556","0","818,556","0","288,815","1892,057","2180,872","2999,428","490,13","0","782,99","1273,12","0","10","1716,308","2999,428","17040,686","0","149,239","17189,925","0","2,074","0","0","17191,999","1375,945","14643,054","16018,999","389,714","0","0","0,296","0","16409,009","782,99"
"Binnenlandse Zaken en Koninkrijksrelaties","VII, Binnenlandse Zaken","VII","Binnenlandse Zaken en Koninkrijksrelaties","Basisadministratie Persoonsgegevens en Reisdocumenten","BPR","2009","BZK","87","2125","3453","0","5578","0","6645","59098","65743","71321","5162","0","0","5162","0","1389","64770","71321","25210","0","81546","106756","0","356","0","0","107112","8080","83947","92027","4527","10169","0","295","94","107112","0"
"Binnenlandse Zaken en Koninkrijksrelaties","VII, Binnenlandse Zaken","VII","Binnenlandse Zaken en Koninkrijksrelaties","Centrale Archief Selectiedienst","CAS","2009","BZK","70,5","0","1075","0","1075","41","716","517","1274","2349","194","0","-277","-83","0","422","2010","2349","4322","5397","0","9719","0","0","0","134","9853","6386","2944","9330","289","472","0","39","0","10130","-277"
"Binnenlandse Zaken en Koninkrijksrelaties","VII, Binnenlandse Zaken","VII","Binnenlandse Zaken en Koninkrijksrelaties","Centrale Financiën Instellingen","CFI","2009","BZK","384","0","2308","0","2308","0","1010","24746","25756","28064","1689","0","-461","1228","1898","2200","22738","28064","62118","178","1190","63486","0","26","0","1169","64681","27454","35094","62548","1516","0","2","189","887","65142","-461"
"Binnenlandse Zaken en Koninkrijksrelaties","VII, Binnenlandse Zaken","VII","Binnenlandse Zaken en Koninkrijksrelaties","Korps landelijke politiediensten","KLPD","2009","BZK","4959,7","0","204240","0","204240","0","13944","67007","80951","285191","13783","0","2145","15928","6659","118339","144265","285191","564352","24729","13873","602954","0","84","0","6055","609093","396108","165209","561317","36253","0","3431","3464","2483","606948","2145"
"Binnenlandse Zaken en Koninkrijksrelaties","VII, Binnenlandse Zaken","VII","Binnenlandse Zaken en Koninkrijksrelaties","Landelijke Faciliteit Rampenbestrijding","LFR","2009","BZK","41","0","346","0","346","0","2765","269","3034","3380","788","0","-404","384","51","0","2945","3380","24143","4","1599","25746","0","2","0","0","25748","4813","21874","26687","121","0","-680","24","0","26152","-404"
"Binnenlandse Zaken en Koninkrijksrelaties","VII, Binnenlandse Zaken","VII","Binnenlandse Zaken en Koninkrijksrelaties","P-Direkt","P-Direkt","2009","BZK","93","93501","156","0","93657","0","6509","22174","28683","122340","54","0","32","86","149","93897","28208","122340","2278","48399","0","50677","0","16","0","3586","54279","12054","1809","13863","4863","32347","0","3174","0","54247","32"
"Binnenlandse Zaken en Koninkrijksrelaties","VII, Binnenlandse Zaken","VII","Binnenlandse Zaken en Koninkrijksrelaties","Rijksgebouwendienst","RGD","2009","BZK","966","0","5693656","882249","6575905","60594","100527","597969","759090","7334995","243917","0","-5717","238200","80717","6134986","881092","7334995","98989","1382093","11778","1492860","38886","2801","0","0","1534547","58812","19604","78416","313458","816413","43307","288670","0","1540264","-5717"
"Binnenlandse Zaken en Koninkrijksrelaties","VII, Binnenlandse Zaken","VII","Binnenlandse Zaken en Koninkrijksrelaties","Uitvoeringsbedrijf Bedrijfsvoering Rijk","UBR","2009","BZK","516","976","1510","0","2486","329","19019","20533","39881","42367","1410","1094","3462","5966","0","452","35949","42367","43644","66485","5961","116090","0","210","0","5599","121899","67399","48874","116273","344","0","0","386","2700","119703","2196"
